longitude,latitude,flood_label,elevation,slope,aspect,flow_accumulation,twi,curvature,mean_annual_rainfall,mean_rainy_days,extreme_rain_freq,lulc,ndvi,soil_permeability,distance_to_river,distance_to_drainage,gpm_antecedent_rainfall
3.257785293623651,6.441863818185295,1,4.0264378,1.680933,154.88681,3.2955132,5.230584,-1.2744274,1709.9641,123.4,1.7,50.0,0.26194233,24.305693,11718.259,275.7627,55.355
3.2637141744988396,6.455608042032324,1,6.23893,1.9094033,144.98679,1.0,3.6512733,2.0748544,1551.5386,125.8,1.4,50.0,0.13363717,24.805693,19102.057,559.96344,55.355
3.304138362284218,6.474742157584069,1,3.4240901,2.1418777,118.906395,1.0388836,3.445115,0.48583758,1509.2141,124.8,1.2,50.0,0.097301565,21.433126,2124.2463,135.41812,62.36625
3.2623667015726605,6.502769594448599,1,4.6105666,2.9218822,156.37372,13.584072,5.6048994,-1.4750056,1635.545,126.7,1.8,50.0,0.1638385,29.5,12107.072,925.37573,60.66
3.2739549687378022,6.45453006369138,1,7.5463066,2.9824095,179.53435,1.2989432,3.3988323,-0.48022884,1551.5386,125.8,1.4,50.0,0.2001154,25.5,14284.574,527.15454,55.355
3.241076629339028,6.470430244220296,1,9.369149,2.9829514,113.75438,1.8539989,3.5983696,0.7405336,1572.0745,124.3,1.3,50.0,0.27938485,29.25432,18994.42,266.48358,55.355
3.27476345249351,6.499805154011004,1,5.633937,1.6880522,128.79456,1.5231509,4.1313963,1.0780658,1551.5386,125.8,1.4,50.0,0.1935188,30.01793,11905.761,504.2236,58.469353
3.2666786149364344,6.457763998714211,1,4.507816,1.0417986,133.00551,1.7135718,4.908303,0.9071998,1551.5386,125.8,1.4,30.0,0.21002752,23.149096,17335.902,606.8983,55.355
3.224098470469169,6.508428980738552,1,4.651631,2.1971726,154.42079,5.1469965,4.9625955,-1.9481449,1690.8632,125.5,2.0,50.0,0.24260986,33.0,5694.06,1537.0063,60.66
3.2588632719645942,6.4397078615034085,1,3.520154,1.7230566,175.29987,2.6986783,4.5475974,0.58730096,1709.9641,123.4,1.7,50.0,0.14905603,23.406698,11249.304,243.5023,55.355
3.244580058947094,6.521903710000345,1,12.956319,2.1491673,257.04767,3.0,4.6201468,0.90202767,1690.8632,125.5,2.0,50.0,0.14469032,28.007032,5358.7554,1727.6805,60.66
3.290933127607661,6.492528800209636,1,5.919045,7.1978583,132.59448,1.1031262,2.738892,6.7741003,1551.5386,125.8,1.4,50.0,0.24052168,24.555592,2888.8816,37.520737,55.355
3.2685650770330854,6.45264360159473,1,6.6933765,2.2040236,172.92421,2.0,4.0742455,0.18434426,1551.5386,125.8,1.4,50.0,0.22773394,25.412325,17402.518,576.8871,55.355
