osm_id,name,category,risk_tier,risk_label,longitude,latitude
1258581274,Unnamed,building,3.0,High,3.2363487,6.4397751
1257996646,Unnamed,building,4.0,Very High,3.2573532,6.4609636
1263682543,Unnamed,building,4.0,Very High,3.27923,6.4975891
1083914434,Unnamed,building,2.0,Moderate,3.2266554,6.4467512
1258662475,Unnamed,building,3.0,High,3.2452875,6.4618268
670606833,Unnamed,building,0.0,NoData,3.2818973,6.4247688
1258540114,Unnamed,building,4.0,Very High,3.2389384,6.4479175
1263547899,Unnamed,building,3.0,High,3.2548378,6.4861186
1262201794,Unnamed,building,3.0,High,3.2284078,6.5033476
1258702467,Unnamed,building,2.0,Moderate,3.2705596,6.4693015
1259524910,Unnamed,building,3.0,High,3.2522003,6.5008928
1257718563,Unnamed,building,4.0,Very High,3.2548664,6.437522
1262932155,Unnamed,building,2.0,Moderate,3.2534324,6.5128766
1257519535,Unnamed,building,3.0,High,3.2559499,6.4510277
1258653548,Unnamed,building,2.0,Moderate,3.2355194,6.4721966
1267619532,Unnamed,building,3.0,High,3.2319986,6.4685318
1261400077,Unnamed,building,4.0,Very High,3.222191,6.510818
1267572652,Unnamed,building,2.0,Moderate,3.2182723,6.4446107
1267436936,Unnamed,building,0.0,NoData,3.2098639,6.4519176
1263515327,Unnamed,building,1.0,Low,3.278851,6.50569
1257455671,Unnamed,building,1.0,Low,3.2612566,6.4371821
1257496233,Unnamed,building,3.0,High,3.2520614,6.4729909
1263416814,Unnamed,building,1.0,Low,3.2386644,6.5029619
1258660151,Unnamed,building,1.0,Low,3.2383661,6.4437359
1262852307,Unnamed,building,2.0,Moderate,3.2663934,6.5005058
1261399958,Unnamed,building,4.0,Very High,3.2236493,6.5113924
1258714855,Unnamed,building,2.0,Moderate,3.3291169,6.4197834
1262636617,Unnamed,building,2.0,Moderate,3.2548937,6.500841
1258180704,Unnamed,building,4.0,Very High,3.2615416,6.4530793
1258801597,Unnamed,building,2.0,Moderate,3.253252,6.4137843
1275785604,Unnamed,building,4.0,Very High,3.3042453,6.5141421
1261916964,Unnamed,building,4.0,Very High,3.24931,6.5221465
1262093739,Unnamed,building,1.0,Low,3.2307724,6.5016112
1257845570,Unnamed,building,2.0,Moderate,3.2424257,6.4669174
1258449942,Unnamed,building,2.0,Moderate,3.2813101,6.4848573
1259174428,Unnamed,building,2.0,Moderate,3.2550443,6.5203182
1263400649,Unnamed,building,3.0,High,3.2843102,6.5013537
1258433620,Unnamed,building,4.0,Very High,3.248678,6.4569558
1260611949,Unnamed,building,3.0,High,3.2410052,6.5164712
1263434530,Unnamed,building,3.0,High,3.2392086,6.5018006
1267619395,Unnamed,building,4.0,Very High,3.2120486,6.4528394
1258219203,Unnamed,building,3.0,High,3.271555,6.4465274
1258370097,Unnamed,building,1.0,Low,3.2733352,6.4625502
1258840186,Unnamed,building,2.0,Moderate,3.2569825,6.4128645
1262943120,Unnamed,building,3.0,High,3.2289589,6.5220804
1275785484,Unnamed,building,3.0,High,3.3058744,6.5128297
1259804223,Unnamed,building,2.0,Moderate,3.2710358,6.5012869
1262166158,Unnamed,building,4.0,Very High,3.2783897,6.5169903
1257811128,Unnamed,building,2.0,Moderate,3.2454009,6.4528428
1257470950,Unnamed,building,2.0,Moderate,3.2611908,6.4478681
1258695284,Unnamed,building,3.0,High,3.2871083,6.4544061
1263758701,Unnamed,building,2.0,Moderate,3.2479701,6.4778056
1262221753,Unnamed,building,4.0,Very High,3.2222118,6.5053153
1083910548,Unnamed,building,0.0,NoData,3.2220936,6.4394476
1258601120,Unnamed,building,4.0,Very High,3.2399668,6.4585339
1258571341,Unnamed,building,3.0,High,3.2759788,6.4651246
1258023928,Unnamed,building,4.0,Very High,3.292496,6.4645693
1285337648,Unnamed,building,2.0,Moderate,3.3594373,6.4155627
1257421564,Unnamed,building,4.0,Very High,3.2758313,6.4407669
1262965100,Unnamed,building,2.0,Moderate,3.2708329,6.5045603
1258593924,Unnamed,building,3.0,High,3.2304978,6.4581428
1262969182,Unnamed,building,4.0,Very High,3.259741,6.5030141
1262129984,Unnamed,building,3.0,High,3.2789317,6.5140149
1276244512,Unnamed,building,2.0,Moderate,3.294798,6.4968253
1258639501,Unnamed,building,2.0,Moderate,3.2805201,6.470166
1258621415,Unnamed,building,2.0,Moderate,3.2721155,6.4697895
1257513297,Unnamed,building,3.0,High,3.2865811,6.4658698
1262903465,Unnamed,building,3.0,High,3.2471118,6.5162001
1275718978,Unnamed,building,2.0,Moderate,3.2910036,6.5174332
1258203714,Unnamed,building,3.0,High,3.252109,6.4219687
1260529002,Unnamed,building,3.0,High,3.2642574,6.4994402
1257884175,Unnamed,building,2.0,Moderate,3.2792071,6.4339402
1258622300,Unnamed,building,4.0,Very High,3.2931574,6.462309
1258067392,Unnamed,building,2.0,Moderate,3.2809999,6.47142
1266789245,Unnamed,building,3.0,High,3.2332552,6.4525156
1276187924,Unnamed,building,3.0,High,3.296118,6.5037819
1267784531,Unnamed,building,4.0,Very High,3.2244953,6.4414244
1275944321,Unnamed,building,4.0,Very High,3.3003954,6.5082085
1263547900,Unnamed,building,3.0,High,3.2548175,6.4860366
1262054508,Unnamed,building,3.0,High,3.2637769,6.5013775
1258039465,Unnamed,building,3.0,High,3.2934586,6.4528495
1257785374,Unnamed,building,2.0,Moderate,3.2904725,6.475224
1258716490,Unnamed,building,4.0,Very High,3.2834315,6.4547632
964330639,Unnamed,building,4.0,Very High,3.2600995,6.46667
1257436732,Unnamed,building,2.0,Moderate,3.2633716,6.4371684
1258327293,Unnamed,building,2.0,Moderate,3.2592321,6.4573717
1258292429,Unnamed,building,3.0,High,3.2968621,6.4828649
1258180752,Unnamed,building,2.0,Moderate,3.2602537,6.4530151
1257566796,Unnamed,building,3.0,High,3.2982861,6.4660972
1275785444,Unnamed,building,3.0,High,3.3059309,6.5122473
1258632598,Unnamed,building,3.0,High,3.2529288,6.4657554
1263457275,Unnamed,building,3.0,High,3.2742448,6.5221057
1257844825,Unnamed,building,4.0,Very High,3.286538,6.4792633
1285751727,Unnamed,building,2.0,Moderate,3.3571293,6.4159078
1267784856,Unnamed,building,3.0,High,3.2882548,6.4587405
1263284825,Unnamed,building,3.0,High,3.2812133,6.5107182
1263697799,Unnamed,building,3.0,High,3.2636826,6.4954217
1263674318,Unnamed,building,3.0,High,3.2853502,6.5007289
1262787190,Unnamed,building,4.0,Very High,3.2608983,6.5196338
1275719038,Unnamed,building,1.0,Low,3.2926996,6.519385
1267684043,Unnamed,building,4.0,Very High,3.2296232,6.4440623
1258574752,Unnamed,building,4.0,Very High,3.236686,6.4408014
